COD_IBGE,NOME,LATITUDE,LONGITUDE
310010,Abadia dos Dourados,-18.4831,-47.3916
310020,Abaeté,-19.1551,-45.4444
310030,Abre Campo,-20.2996,-42.4743
310040,Acaiaca,-20.359,-43.1439
310050,Açucena,-19.0671,-42.5419
310060,Água Boa,-17.9914,-42.3806
310070,Água Comprida,-20.0576,-48.1069
310080,Aguanil,-20.9439,-45.3915
310090,Águas Formosas,-17.0802,-40.9384
310100,Águas Vermelhas,-15.7431,-41.4571
310110,Aimorés,-19.5007,-41.0746
310120,Aiuruoca,-21.9736,-44.6042
310130,Alagoa,-22.171,-44.6413
310140,Albertina,-22.2018,-46.6139
310150,Além Paraíba,-21.8797,-42.7176
310160,Alfenas,-21.4256,-45.9477
310163,Alfredo Vasconcelos,-21.1535,-43.7718
310170,Almenara,-16.1785,-40.6942
310180,Alpercata,-18.974,-41.97
310190,Alpinópolis,-20.8631,-46.3878
310200,Alterosa,-21.2488,-46.1387
310205,Alto Caparaó,-20.431,-41.8738
315350,Alto Jequitibá,-20.4208,-41.967
310210,Alto Rio Doce,-21.0281,-43.4067
310220,Alvarenga,-19.4174,-41.7317
310230,Alvinópolis,-20.1098,-43.0535
310240,Alvorada de Minas,-18.7334,-43.3638
310250,Amparo do Serra,-20.5051,-42.8009
310260,Andradas,-22.0695,-46.5724
310280,Andrelândia,-21.7411,-44.3117
310285,Angelândia,-17.7279,-42.2641
310290,Antônio Carlos,-21.321,-43.7451
310300,Antônio Dias,-19.6491,-42.8732
310310,Antônio Prado de Minas,-21.0192,-42.1109
310320,Araçaí,-19.1955,-44.2493
310330,Aracitaba,-21.3446,-43.3736
310340,Araçuaí,-16.8523,-42.0637
310350,Araguari,-18.6456,-48.1934
310360,Arantina,-21.9102,-44.2555
310370,Araponga,-20.6686,-42.5178
310375,Araporã,-18.4357,-49.1847
310380,Arapuá,-19.0268,-46.1484
310390,Araújos,-19.9405,-45.1671
310400,Araxá,-19.5902,-46.9438
310410,Arceburgo,-21.359,-46.9401
310420,Arcos,-20.2863,-45.5373
310430,Areado,-21.3572,-46.1421
310440,Argirita,-21.6083,-42.8292
310445,Aricanduva,-17.8666,-42.5533
310450,Arinos,-15.9187,-46.1043
310460,Astolfo Dutra,-21.3184,-42.8572
310470,Ataléia,-18.0438,-41.1149
310480,Augusto de Lima,-18.0997,-44.2655
310490,Baependi,-21.957,-44.8874
310500,Baldim,-19.2832,-43.9613
310510,Bambuí,-20.0166,-45.9754
310520,Bandeira,-15.8783,-40.5622
310530,Bandeira do Sul,-21.7308,-46.3833
310540,Barão de Cocais,-19.9389,-43.4755
310550,Barão de Monte Alto,-21.2444,-42.2372
310560,Barbacena,-21.2214,-43.7703
310570,Barra Longa,-20.2869,-43.0402
310590,Barroso,-21.1907,-43.972
310600,Bela Vista de Minas,-19.8302,-43.0922
310610,Belmiro Braga,-21.944,-43.4084
310620,Belo Horizonte,-19.9102,-43.9266
310630,Belo Oriente,-19.2199,-42.4828
310640,Belo Vale,-20.4077,-44.0275
310650,Berilo,-16.9567,-42.4606
310665,Berizal,-15.61,-41.7432
310660,Bertópolis,-17.059,-40.58
310670,Betim,-19.9668,-44.2008
310680,Bias Fortes,-21.602,-43.7574
310690,Bicas,-21.7232,-43.056
310700,Biquinhas,-18.7754,-45.4974
310710,Boa Esperança,-21.0927,-45.5612
310720,Bocaina de Minas,-22.1697,-44.3972
310730,Bocaiúva,-17.1135,-43.8104
310740,Bom Despacho,-19.7386,-45.2622
310750,Bom Jardim de Minas,-21.9479,-44.1885
310760,Bom Jesus da Penha,-21.0148,-46.5174
310770,Bom Jesus do Amparo,-19.7054,-43.4782
310780,Bom Jesus do Galho,-19.836,-42.3165
310790,Bom Repouso,-22.4675,-46.144
310800,Bom Sucesso,-21.0329,-44.7537
310810,Bonfim,-20.3302,-44.2366
310820,Bonfinópolis de Minas,-16.568,-45.9839
310825,Bonito de Minas,-15.3231,-44.7543
310830,Borda da Mata,-22.2707,-46.1653
310840,Botelhos,-21.6412,-46.391
310850,Botumirim,-16.8657,-43.0086
310870,Brás Pires,-20.8419,-43.2406
310855,Brasilândia de Minas,-16.9999,-46.0081
310860,Brasília de Minas,-16.2104,-44.4299
310880,Braúnas,-19.0562,-42.7099
310890,Brazópolis,-22.4743,-45.6166
310900,Brumadinho,-20.151,-44.2007
310910,Bueno Brandão,-22.4383,-46.3491
310920,Buenópolis,-17.8744,-44.1775
310925,Bugre,-19.4231,-42.2552
310930,Buritis,-15.6218,-46.4221
310940,Buritizeiro,-17.3656,-44.9606
310945,Cabeceira Grande,-16.0335,-47.0862
310950,Cabo Verde,-21.4699,-46.3919
310960,Cachoeira da Prata,-19.521,-44.4544
310970,Cachoeira de Minas,-22.3511,-45.7809
310270,Cachoeira de Pajeú,-15.9688,-41.4948
310980,Cachoeira Dourada,-18.5161,-49.5039
310990,Caetanópolis,-19.2971,-44.4189
311000,Caeté,-19.8826,-43.6704
