COD_IBGE,NOME,LATITUDE,LONGITUDE
0,0,-18.4831,-47.3916
1,1,-19.1551,-45.4444
2,2,-20.2996,-42.4743
3,3,-20.359,-43.1439
4,48,-19.0671,-42.5419
5,849,-17.9914,-42.3806
6,850,-20.0576,-48.1069
7,4,-20.9439,-45.3915
8,851,-17.0802,-40.9384
9,852,-15.7431,-41.4571
10,5,-19.5007,-41.0746
11,6,-21.9736,-44.6042
12,7,-22.171,-44.6413
13,8,-22.2018,-46.6139
14,21,-21.8797,-42.7176
15,9,-21.4256,-45.9477
16,10,-21.1535,-43.7718
17,11,-16.1785,-40.6942
18,12,-18.974,-41.97
19,13,-20.8631,-46.3878
20,14,-21.2488,-46.1387
21,15,-20.431,-41.8738
623,16,-20.4208,-41.967
22,17,-21.0281,-43.4067
23,18,-19.4174,-41.7317
24,19,-20.1098,-43.0535
25,20,-18.7334,-43.3638
26,22,-20.5051,-42.8009
27,23,-22.0695,-46.5724
29,24,-21.7411,-44.3117
30,25,-17.7279,-42.2641
31,26,-21.321,-43.7451
32,27,-19.6491,-42.8732
33,28,-21.0192,-42.1109
34,36,-19.1955,-44.2493
35,29,-21.3446,-43.3736
36,37,-16.8523,-42.0637
37,30,-18.6456,-48.1934
38,31,-21.9102,-44.2555
39,32,-20.6686,-42.5178
40,33,-18.4357,-49.1847
41,34,-19.0268,-46.1484
42,38,-19.9405,-45.1671
43,35,-19.5902,-46.9438
44,39,-21.359,-46.9401
45,40,-20.2863,-45.5373
46,41,-21.3572,-46.1421
47,42,-21.6083,-42.8292
48,43,-17.8666,-42.5533
49,44,-15.9187,-46.1043
50,45,-21.3184,-42.8572
51,46,-18.0438,-41.1149
52,47,-18.0997,-44.2655
53,49,-21.957,-44.8874
54,50,-19.2832,-43.9613
55,51,-20.0166,-45.9754
56,52,-15.8783,-40.5622
57,53,-21.7308,-46.3833
58,57,-19.9389,-43.4755
59,58,-21.2444,-42.2372
60,54,-21.2214,-43.7703
61,55,-20.2869,-43.0402
62,56,-21.1907,-43.972
63,59,-19.8302,-43.0922
64,60,-21.944,-43.4084
65,61,-19.9102,-43.9266
66,62,-19.2199,-42.4828
67,63,-20.4077,-44.0275
68,64,-16.9567,-42.4606
70,65,-15.61,-41.7432
69,66,-17.059,-40.58
71,67,-19.9668,-44.2008
72,68,-21.602,-43.7574
73,69,-21.7232,-43.056
74,70,-18.7754,-45.4974
75,71,-21.0927,-45.5612
76,72,-22.1697,-44.3972
77,73,-17.1135,-43.8104
78,74,-19.7386,-45.2622
79,75,-21.9479,-44.1885
80,76,-21.0148,-46.5174
81,77,-19.7054,-43.4782
82,78,-19.836,-42.3165
83,79,-22.4675,-46.144
84,80,-21.0329,-44.7537
85,81,-20.3302,-44.2366
86,82,-16.568,-45.9839
87,83,-15.3231,-44.7543
88,84,-22.2707,-46.1653
89,85,-21.6412,-46.391
90,86,-16.8657,-43.0086
93,92,-20.8419,-43.2406
91,87,-16.9999,-46.0081
92,88,-16.2104,-44.4299
94,90,-19.0562,-42.7099
95,89,-22.4743,-45.6166
96,91,-20.151,-44.2007
97,93,-22.4383,-46.3491
98,94,-17.8744,-44.1775
99,95,-19.4231,-42.2552
100,96,-15.6218,-46.4221
101,97,-17.3656,-44.9606
102,98,-16.0335,-47.0862
103,99,-21.4699,-46.3919
104,101,-19.521,-44.4544
105,102,-22.3511,-45.7809
28,103,-15.9688,-41.4948
106,100,-18.5161,-49.5039
107,104,-19.2971,-44.4189
108,105,-19.8826,-43.6704
109,106,-20.6956,-41.9292
110,107,-20.7903,-42.7925
111,108,-21.9183,-46.3843
112,109,-20.6294,-45.1593
113,110,-22.7515,-46.1494
114,112,-22.6115,-46.0572
115,111,-21.854,-45.2896
116,114,-18.2427,-41.7355
117,113,-21.836,-45.4004
118,115,-21.7079,-46.2381
119,116,-19.5382,-49.4862
120,117,-16.5028,-44.8096
121,118,-20.8932,-45.2699
122,120,-21.1127,-45.8273
123,119,-19.7631,-48.5716
124,121,-19.6914,-46.1725
125,122,-21.237,-45.7569
128,123,-21.0232,-45.1801
126,124,-20.6869,-42.6167
127,127,-18.7212,-49.2035
129,125,-20.7692,-45.2765
130,126,-18.5248,-42.6223
131,128,-20.5289,-41.9061
132,129,-20.9179,-43.622
133,130,-17.6888,-42.5147
134,131,-20.6163,-47.0571
135,132,-19.5471,-44.1304
136,133,-18.6862,-49.5706
137,134,-19.0748,-41.8614
138,135,-16.3265,-43.7084
139,136,-20.6164,-46.0493
140,137,-20.1703,-42.2683
141,142,-17.1862,-41.7004
142,138,-20.8707,-43.7417
143,139,-20.9566,-43.811
144,140,-20.7343,-42.0313
145,141,-19.7868,-42.1292
146,143,-17.5255,-43.0137
147,144,-22.0424,-45.696
148,145,-17.6973,-40.7723
149,152,-19.0877,-43.1382
150,146,-21.4633,-45.2201
151,147,-20.5575,-44.8735
152,148,-22.1204,-45.1307
153,149,-20.1912,-44.7664
154,150,-18.991,-46.3167
155,151,-20.9736,-46.1149
156,153,-20.5396,-44.6336
157,154,-19.6987,-50.6894
158,155,-21.4898,-44.6446
159,157,-21.7735,-45.8421
160,156,-22.0,-44.4632
161,158,-20.7925,-43.9343
162,159,-18.5772,-47.8716
163,223,-20.5831,-46.9201
165,160,-21.3924,-42.6896
166,161,-20.0734,-43.4061
167,162,-20.6901,-43.4939
168,163,-17.3018,-41.5276
169,164,-15.3616,-42.9627
170,165,-21.9753,-44.9319
171,166,-19.1458,-45.712
172,167,-18.7612,-41.3143
173,168,-18.5852,-49.2014
174,173,-21.6733,-43.215
175,169,-20.0453,-41.6897
176,171,-17.0881,-42.5392
177,170,-15.3014,-45.6116
178,172,-21.9996,-43.0617
179,174,-20.9026,-43.3629
180,175,-20.397,-47.2768
181,176,-17.082,-44.2061
182,177,-20.4437,-44.7673
183,178,-20.8535,-42.8008
184,179,-18.2311,-42.8352
185,180,-19.6973,-49.0789
186,181,-16.2963,-41.7945
187,182,-21.096,-46.2049
164,183,-21.1316,-44.4729
189,184,-19.9172,-48.3839
188,185,-22.1576,-45.4562
190,186,-19.9326,-41.6908
191,187,-19.0344,-43.4221
192,188,-19.7456,-44.8945
193,189,-21.8778,-45.087
194,190,-22.4078,-45.7996
195,228,-15.2892,-44.4181
196,191,-19.6282,-43.9931
197,192,-22.1488,-46.043
198,193,-20.4958,-43.851
199,194,-18.8021,-43.6767
200,195,-19.9312,-47.5492
201,196,-20.6634,-43.7846
202,197,-19.1789,-41.4736
203,198,-22.5493,-45.9255
204,199,-19.9321,-44.0539
205,200,-21.1858,-45.4366
206,201,-16.6841,-44.3635
207,202,-19.1224,-44.3224
208,203,-21.7891,-45.6999
209,204,-18.369,-44.4542
210,205,-18.6156,-42.2791
211,206,-18.4734,-47.1933
212,207,-19.5179,-42.6276
213,208,-16.6148,-42.184
214,209,-21.5898,-43.256
215,210,-21.0277,-44.2206
216,224,-19.8198,-45.9032
217,227,-22.6269,-46.0241
218,225,-20.4474,-45.5617
219,226,-19.8361,-42.3988
220,211,-18.0727,-43.4648
221,216,-17.2381,-40.9184
222,212,-20.8733,-45.5167
223,215,-16.716,-42.8571
224,213,-20.8324,-43.8166
225,214,-22.208,-45.2673
226,217,-20.3923,-44.3334
227,218,-18.944,-46.6669
228,219,-21.84,-44.8067
229,220,-18.9648,-41.0986
230,221,-15.9327,-41.8557
231,222,-18.7527,-44.4303
232,229,-18.4478,-43.6591
233,230,-22.5036,-45.2792
234,231,-20.3468,-46.8456
235,232,-19.9721,-47.7841
236,233,-21.46,-42.9618
237,234,-20.665,-44.3334
238,235,-21.143,-43.5178
239,236,-18.2413,-43.6031
240,237,-20.4879,-43.1953
241,238,-19.8433,-42.7701
242,242,-20.9917,-43.0003
243,239,-20.6134,-42.1438
244,240,-18.7755,-41.4781
245,241,-18.8004,-42.6103
246,243,-20.1446,-44.8912
247,244,-15.7221,-41.3463
248,245,-21.5092,-46.1904
249,246,-15.7254,-40.9997
250,247,-16.652,-46.2597
251,248,-19.3735,-42.1121
252,249,-18.961,-43.2544
253,250,-20.1627,-42.9627
254,251,-22.2511,-45.1643
255,252,-21.319,-42.807
256,253,-21.1139,-44.0207
257,254,-19.0516,-42.9254
258,255,-19.4628,-45.5927
259,256,-20.9785,-43.1834
260,257,-20.2868,-45.9007
261,258,-18.4338,-47.5993
262,259,-20.2058,-41.7977
263,260,-21.6088,-45.5691
264,261,-19.2065,-42.0503
265,262,-17.2831,-43.947
266,263,-19.6218,-42.2306
267,264,-20.6706,-44.0654
268,265,-20.8403,-42.6544
269,266,-19.764,-44.3065
270,267,-20.6508,-41.9119
271,268,-14.9249,-42.809
272,269,-22.0454,-45.9548
273,270,-22.4577,-46.0191
274,271,-21.7412,-42.4574
275,272,-19.5169,-45.7859
276,273,-18.7399,-47.6956
277,274,-21.1002,-42.1878
278,275,-21.5498,-43.5068
279,276,-22.854,-46.3178
280,277,-21.4089,-45.8286
281,278,-20.8097,-42.0213
282,281,-18.0755,-43.2422
284,279,-16.6348,-40.7605
285,280,-18.7507,-44.9004
286,282,-19.1541,-42.0803
287,283,-19.2343,-43.0192
288,284,-20.726,-42.279
289,285,-19.888,-44.4318
290,286,-20.4618,-45.4268
291,287,-14.9446,-46.2371
292,288,-20.8508,-46.712
293,289,-19.5578,-44.4472
294,290,-16.9883,-42.3568
295,291,-17.3107,-44.2317
296,292,-16.4827,-43.4896
297,293,-17.9578,-42.0094
298,294,-18.0709,-41.4325
299,295,-18.5556,-41.9121
300,296,-18.1751,-42.7617
301,297,-20.2748,-49.1984
302,298,-16.8898,-40.923
303,299,-16.1225,-42.5288
304,300,-20.0259,-48.9355
305,301,-19.3661,-44.061
306,302,-19.0005,-41.5387
307,303,-15.0829,-43.125
308,304,-16.8481,-43.692
309,305,-18.9807,-41.2235
310,306,-21.536,-43.1957
311,308,-22.6545,-45.8556
312,307,-18.8196,-42.4769
313,309,-18.4519,-43.7423
314,310,-18.8545,-41.9555
315,312,-16.5662,-42.8923
316,311,-18.5003,-47.7318
317,313,-18.7713,-42.9312
